trt,ca,cica
reduced,51.5625,0.999152542
reduced,103.125,0.972033898
reduced,200,0.952542373
reduced,381.25,0.960169492
reduced,381.25,0.939830508
reduced,379.6875,0.930508474
reduced,598.4375,0.911016949
reduced,698.4375,0.940677966
reduced,998.4375,0.939830508
normal,51.5625,1.010169492
normal,101.5625,0.863559322
normal,103.125,0.843220339
normal,379.6875,0.81440678
normal,379.6875,0.793220339
normal,379.6875,0.774576271
normal,450,0.793220339
normal,698.4375,0.783898305
normal,698.4375,0.763559322
normal,998.4375,0.774576271
