tree,time,tl,vpd,ca,ppfd,psis,gsw,psil,e,k,vm,jm,oxy,phi,thetaj,thetaa,gm,absorptance
aseq,0.291666667,22.31655172,11.65321664,390.05,1071,-1.395,0.1307,-1.845,1.523075415,3.384612032,186,152,21,0.2,0.71,1,0.08,0.85
aseq,0.354166667,27.33866667,20.42338543,390.105,1659,-1.395,0.1039,-1.83,2.121989747,4.878137349,186,152,21,0.2,0.71,1,0.08,0.85
aseq,0.416666667,30.21551724,26.10300269,388.865,1329,-1.395,0.1245,-2.3133,3.249823835,3.538956589,186,152,21,0.2,0.71,1,0.08,0.85
aseq,0.479166667,34.14133333,38.48023591,390.735,1455,-1.395,0.07915,-2.275,3.045710672,3.461034855,186,152,21,0.2,0.71,1,0.08,0.85
aseq,0.5625,36.14633333,46.75543607,389.715,809,-1.395,0.0733,-2.42085,3.427173464,3.340813437,186,152,21,0.2,0.71,1,0.08,0.85
aseq,0.625,34.69533333,40.64307,389.96,618,-1.395,0.0691,-2.5667,2.808436137,2.396890106,186,152,21,0.2,0.71,1,0.08,0.85
aseq,0.6875,34.665,41.76443397,390.015,792.5,-1.395,0.06045,-2.8517,2.524660033,1.733136564,186,152,21,0.2,0.71,1,0.08,0.85
bseq,0.291666667,22.31655172,11.65321664,389.755,1311.5,-1.69,0.1033,-1.845,1.203777279,7.766305024,186,152,21,0.2,0.71,1,0.08,0.85
bseq,0.354166667,27.33866667,20.42338543,389.68,1298,-1.69,0.12185,-1.83,2.488589515,17.77563939,186,152,21,0.2,0.71,1,0.08,0.85
bseq,0.416666667,30.21551724,26.10300269,389.225,1176.5,-1.69,0.09745,-2.3133,2.543737612,4.08108072,186,152,21,0.2,0.71,1,0.08,0.85
bseq,0.479166667,34.14133333,38.48023591,390.58,1414.5,-1.69,0.09605,-2.275,3.696026659,6.31799429,186,152,21,0.2,0.71,1,0.08,0.85
bseq,0.5625,36.14633333,46.75543607,389.72,919.5,-1.69,0.07425,-2.42085,3.471591129,4.750073378,186,152,21,0.2,0.71,1,0.08,0.85
bseq,0.625,34.69533333,40.64307,390.38,1239,-1.69,0.06305,-2.5667,2.562545563,2.922944637,186,152,21,0.2,0.71,1,0.08,0.85
bseq,0.6875,34.665,41.76443397,389.94,1235,-1.69,0.05035,-2.8517,2.10283925,1.810139666,186,152,21,0.2,0.71,1,0.08,0.85
bseq,0.75,33.65833333,39.09161281,390.62,23,-1.69,0.0448,-3.0567,1.751304254,1.281410883,186,152,21,0.2,0.71,1,0.08,0.85
cseq,0.291666667,22.31655172,11.65321664,389.42,1254,-1.442,0.11215,-1.845,1.306908246,3.242948501,186,152,21,0.2,0.71,1,0.08,0.85
cseq,0.354166667,27.33866667,20.42338543,389.685,1422,-1.442,0.1403,-1.83,2.865400977,7.385054063,186,152,21,0.2,0.71,1,0.08,0.85
cseq,0.416666667,30.21551724,26.10300269,388.98,1139.5,-1.442,0.07025,-2.3133,1.833735939,2.104597658,186,152,21,0.2,0.71,1,0.08,0.85
cseq,0.479166667,34.14133333,38.48023591,389.745,947,-1.442,0.09185,-2.275,3.534409669,4.242988798,186,152,21,0.2,0.71,1,0.08,0.85
cseq,0.5625,36.14633333,46.75543607,389.675,901,-1.442,0.0976,-2.42085,4.563330561,4.661930389,186,152,21,0.2,0.71,1,0.08,0.85
cseq,0.625,34.69533333,40.64307,390.65,1351,-1.442,0.04745,-2.5667,1.928513671,1.714691626,186,152,21,0.2,0.71,1,0.08,0.85
cseq,0.6875,34.665,41.76443397,389.875,1074.5,-1.442,0.0469,-2.8517,1.958751953,1.389481417,186,152,21,0.2,0.71,1,0.08,0.85
cseq,0.75,33.65833333,39.09161281,390.83,7.5,-1.442,0.01415,-3.0567,0.553146321,0.342569097,186,152,21,0.2,0.71,1,0.08,0.85
areg,0.291666667,22.31655172,11.65321664,389.725,530,-0.41,0.19,-1.1733,2.214111161,2.900708976,186,188,21,0.2,0.71,1,0.11,0.85
areg,0.354166667,27.33866667,20.42338543,389.625,1383,-0.41,0.3,-1.6017,6.12701563,5.141407762,186,188,21,0.2,0.71,1,0.11,0.85
areg,0.416666667,30.21551724,26.10300269,388.765,1039,-0.41,0.1595,-2.015,4.16342893,2.594036716,186,188,21,0.2,0.71,1,0.11,0.85
areg,0.479166667,34.14133333,38.48023591,390.355,1043,-0.41,0.1378,-2.295,5.302576509,2.813037936,186,188,21,0.2,0.71,1,0.11,0.85
areg,0.5625,36.14633333,46.75543607,390.025,1197,-0.41,0.366,-2.34165,17.1124896,8.859001167,186,188,21,0.2,0.71,1,0.11,0.85
areg,0.625,34.69533333,40.64307,390.075,1351,-0.41,0.334,-2.3883,13.57478538,6.861843694,186,188,21,0.2,0.71,1,0.11,0.85
areg,0.6875,34.665,41.76443397,389.31,1422.5,-0.41,0.282,-2.4067,11.77757038,5.898517744,186,188,21,0.2,0.71,1,0.11,0.85
areg,0.75,33.65833333,39.09161281,389.515,283,-0.41,0.249,-1.7317,9.733811589,7.364614957,186,188,21,0.2,0.71,1,0.11,0.85
breg,0.291666667,22.31655172,11.65321664,389.595,1243.5,-0.41,0.16515,-1.1733,1.924528728,2.521326776,186,188,21,0.2,0.71,1,0.11,0.85
breg,0.354166667,27.33866667,20.42338543,389.455,1451.25,-0.41,0.236675,-1.6017,4.833704748,4.056142274,186,188,21,0.2,0.71,1,0.11,0.85
breg,0.416666667,30.21551724,26.10300269,389.325,1450.75,-0.41,0.223725,-2.015,5.839894278,3.638563413,186,188,21,0.2,0.71,1,0.11,0.85
breg,0.479166667,34.14133333,38.48023591,390.3225,1343,-0.41,0.200025,-2.295,7.697009188,4.083293999,186,188,21,0.2,0.71,1,0.11,0.85
breg,0.5625,36.14633333,46.75543607,389.635,892.25,-0.41,0.186375,-2.34165,8.714044398,4.511192192,186,188,21,0.2,0.71,1,0.11,0.85
breg,0.625,34.69533333,40.64307,390.12,1344.25,-0.41,0.142775,-2.3883,5.802814319,2.933232735,186,188,21,0.2,0.71,1,0.11,0.85
breg,0.6875,34.665,41.76443397,389.87,1317.25,-0.41,0.123425,-2.4067,5.154775263,2.581647349,186,188,21,0.2,0.71,1,0.11,0.85
breg,0.75,33.65833333,39.09161281,390.2175,125.25,-0.41,0.072675,-1.7317,2.840982961,2.149491534,186,188,21,0.2,0.71,1,0.11,0.85
creg,0.291666667,22.31655172,11.65321664,389.405,856.5,-0.35,0.169325,-1.1733,1.973180907,2.396673032,186,188,21,0.2,0.71,1,0.11,0.85
creg,0.354166667,27.33866667,20.42338543,389.25,1456,-0.35,0.15165,-1.6017,3.097206401,2.474399937,186,188,21,0.2,0.71,1,0.11,0.85
creg,0.416666667,30.21551724,26.10300269,389.23,1422.25,-0.35,0.119375,-2.015,3.116045947,1.871499067,186,188,21,0.2,0.71,1,0.11,0.85
creg,0.479166667,34.14133333,38.48023591,389.7925,1295.5,-0.35,0.12375,-2.295,4.761929194,2.448292645,186,188,21,0.2,0.71,1,0.11,0.85
creg,0.5625,36.14633333,46.75543607,389.9,860.5,-0.35,0.19105,-2.34165,8.932626062,4.485038065,186,188,21,0.2,0.71,1,0.11,0.85
creg,0.625,34.69533333,40.64307,390.23,1422.75,-0.35,0.150475,-2.3883,6.115765958,3.000424843,186,188,21,0.2,0.71,1,0.11,0.85
creg,0.6875,34.665,41.76443397,389.8975,1134.75,-0.35,0.12545,-2.4067,5.239348241,2.547453805,186,188,21,0.2,0.71,1,0.11,0.85
creg,0.75,33.65833333,39.09161281,390.59,35.5,-0.35,0.096575,-1.7317,3.775272507,2.732338791,186,188,21,0.2,0.71,1,0.11,0.85
