tree,time,tl,vpd,ca,ppfd,psis,gsw,psil,e,k,vm,jm,oxy,phi,thetaj,thetaa,gm,absorptance
areg,0.375,19.493,3.417839729,400.1428833,118.0814896,-0.24,0.183753019,-0.942992286,0.628038369,0.893378749,121.89,135.69,21,0.2,0.71,1,0.2489,0.85
areg,0.451388889,25.744,12.37899189,399.333313,1017.740112,-0.24,0.253299264,-1.030752788,3.135589535,3.965322138,121.89,135.69,21,0.2,0.71,1,0.2489,0.85
areg,0.572916667,28.735,18.61506424,399.6138611,1544.865845,-0.24,0.292643585,-0.998549567,5.447579135,7.181573058,121.89,135.69,21,0.2,0.71,1,0.2489,0.85
areg,0.673611111,28.956,17.93974131,399.1506042,1355.624146,-0.24,0.281487142,-0.85799829,5.049806505,8.171230549,121.89,135.69,21,0.2,0.71,1,0.2489,0.85
areg,0.78125,29.052,18.19944057,400.0943909,326.572113,-0.24,0.236924279,-0.645889644,4.311889335,10.62330462,121.89,135.69,21,0.2,0.71,1,0.2489,0.85
areg,0.840277778,27.174,13.40668838,400.3447571,21.97000885,-0.24,0.178504734,,2.393157348,,121.89,135.69,21,0.2,0.71,1,0.2489,0.85
breg,0.375,19.493,3.417839729,400.1428833,118.0814896,-0.24,0.096275707,-0.942992286,0.329054938,0.468077594,121.89,135.69,21,0.2,0.71,1,0.2489,0.85
breg,0.451388889,25.744,12.37899189,399.333313,1017.740112,-0.24,0.229892841,-1.030752788,2.845841617,3.598901783,121.89,135.69,21,0.2,0.71,1,0.2489,0.85
breg,0.572916667,28.735,18.61506424,399.6138611,1544.865845,-0.24,0.118600948,-0.998549567,2.207764273,2.910507591,121.89,135.69,21,0.2,0.71,1,0.2489,0.85
breg,0.673611111,28.956,17.93974131,399.1506042,1355.624146,-0.24,0.198137711,-0.85799829,3.554539284,5.751697607,121.89,135.69,21,0.2,0.71,1,0.2489,0.85
breg,0.78125,29.052,18.19944057,400.0943909,326.572113,-0.24,0.078989439,-0.645889644,1.437563606,3.54175975,121.89,135.69,21,0.2,0.71,1,0.2489,0.85
breg,0.840277778,27.174,13.40668838,400.3447571,21.97000885,-0.24,0.098860623,,1.325393566,,121.89,135.69,21,0.2,0.71,1,0.2489,0.85
creg,0.375,19.493,3.417839729,400.1428833,118.0814896,-0.24,0.112903947,-0.942992286,0.385887597,0.548921524,121.89,135.69,21,0.2,0.71,1,0.2489,0.85
creg,0.451388889,25.744,12.37899189,399.333313,1017.740112,-0.24,0.196095062,-1.030752788,2.427459179,3.069807931,121.89,135.69,21,0.2,0.71,1,0.2489,0.85
creg,0.572916667,28.735,18.61506424,399.6138611,1544.865845,-0.24,0.164513265,-0.998549567,3.062424998,4.037211451,121.89,135.69,21,0.2,0.71,1,0.2489,0.85
creg,0.673611111,28.956,17.93974131,399.1506042,1355.624146,-0.24,0.269424794,-0.85799829,4.833411109,7.821075217,121.89,135.69,21,0.2,0.71,1,0.2489,0.85
creg,0.78125,29.052,18.19944057,400.0943909,326.572113,-0.24,0.202092847,-0.645889644,3.677976752,9.061519065,121.89,135.69,21,0.2,0.71,1,0.2489,0.85
creg,0.840277778,27.174,13.40668838,400.3447571,21.97000885,-0.24,0.068849629,,0.923045516,,121.89,135.69,21,0.2,0.71,1,0.2489,0.85
dreg,0.375,19.493,3.417839729,400.1428833,118.0814896,-0.24,0.180548185,-0.942992286,0.617084758,0.87779734,121.89,135.69,21,0.2,0.71,1,0.2489,0.85
dreg,0.451388889,25.744,12.37899189,399.333313,1017.740112,-0.24,0.238252953,-1.030752788,2.949331368,3.729776758,121.89,135.69,21,0.2,0.71,1,0.2489,0.85
dreg,0.572916667,28.735,18.61506424,399.6138611,1544.865845,-0.24,0.280948157,-0.998549567,5.229867999,6.89456329,121.89,135.69,21,0.2,0.71,1,0.2489,0.85
dreg,0.673611111,28.956,17.93974131,399.1506042,1355.624146,-0.24,0.25165293,-0.85799829,4.514588471,7.305179553,121.89,135.69,21,0.2,0.71,1,0.2489,0.85
dreg,0.78125,29.052,18.19944057,400.0943909,326.572113,-0.24,0.175054053,-0.645889644,3.185885834,7.849142931,121.89,135.69,21,0.2,0.71,1,0.2489,0.85
dreg,0.840277778,27.174,13.40668838,400.3447571,21.97000885,-0.24,0.071417007,,0.957465555,,121.89,135.69,21,0.2,0.71,1,0.2489,0.85
ereg,0.375,19.493,3.417839729,400.1428833,118.0814896,-0.24,0.227123006,-0.942992286,0.776270034,1.104236916,121.89,135.69,21,0.2,0.71,1,0.2489,0.85
ereg,0.451388889,25.744,12.37899189,399.333313,1017.740112,-0.24,0.255493034,-1.030752788,3.162746199,3.999664938,121.89,135.69,21,0.2,0.71,1,0.2489,0.85
ereg,0.572916667,28.735,18.61506424,399.6138611,1544.865845,-0.24,0.267613877,-0.998549567,4.981649506,6.567335507,121.89,135.69,21,0.2,0.71,1,0.2489,0.85
ereg,0.673611111,28.956,17.93974131,399.1506042,1355.624146,-0.24,0.277859034,-0.85799829,4.984719196,8.065910987,121.89,135.69,21,0.2,0.71,1,0.2489,0.85
ereg,0.78125,29.052,18.19944057,400.0943909,326.572113,-0.24,0.199899863,-0.645889644,3.638065671,8.963189183,121.89,135.69,21,0.2,0.71,1,0.2489,0.85
ereg,0.840277778,27.174,13.40668838,400.3447571,21.97000885,-0.24,0.100255732,,1.344097351,,121.89,135.69,21,0.2,0.71,1,0.2489,0.85
aseq,0.375,19.493,3.417839729,400.3173218,209.3607025,-0.85,0.063014573,-1.667832448,0.21537371,0.263346986,83.95,90.78,21,0.2,0.71,1,0.11,0.85
aseq,0.451388889,25.744,12.37899189,399.2019043,1110.252319,-0.85,0.028486497,-1.814753597,0.352634114,0.365517283,83.95,90.78,21,0.2,0.71,1,0.11,0.85
aseq,0.572916667,28.735,18.61506424,399.548645,1450,-0.85,0.041738979,-1.870605195,0.77697377,0.761287297,83.95,90.78,21,0.2,0.71,1,0.11,0.85
aseq,0.673611111,28.956,17.93974131,399.1630554,1369.939697,-0.85,0.041073703,-1.782222481,0.736851611,0.790424631,83.95,90.78,21,0.2,0.71,1,0.11,0.85
aseq,0.78125,29.052,18.19944057,399.8876648,124.7579117,-0.85,0.031927107,-1.588532568,0.581055488,0.786770297,83.95,90.78,21,0.2,0.71,1,0.11,0.85
aseq,0.840277778,27.174,13.40668838,400.2503357,8.685324669,-0.85,0.01823193,,0.244429799,,83.95,90.78,21,0.2,0.71,1,0.11,0.85
bseq,0.375,19.493,3.417839729,400.3173218,209.3607025,-0.85,0.070162441,-1.667832448,0.23980398,0.29321896,83.95,90.78,21,0.2,0.71,1,0.11,0.85
bseq,0.451388889,25.744,12.37899189,399.2019043,1110.252319,-0.85,0.038748883,-1.814753597,0.479672108,0.497196496,83.95,90.78,21,0.2,0.71,1,0.11,0.85
bseq,0.572916667,28.735,18.61506424,399.548645,1450,-0.85,0.044716621,-1.870605195,0.832402777,0.815597237,83.95,90.78,21,0.2,0.71,1,0.11,0.85
bseq,0.673611111,28.956,17.93974131,399.1630554,1369.939697,-0.85,0.03778123,-1.782222481,0.677785498,0.727064099,83.95,90.78,21,0.2,0.71,1,0.11,0.85
bseq,0.78125,29.052,18.19944057,399.8876648,124.7579117,-0.85,0.032945263,-1.588532568,0.599585358,0.811860415,83.95,90.78,21,0.2,0.71,1,0.11,0.85
bseq,0.840277778,27.174,13.40668838,400.2503357,8.685324669,-0.85,0.016755894,,0.22464105,,83.95,90.78,21,0.2,0.71,1,0.11,0.85
cseq,0.375,19.493,3.417839729,400.3173218,209.3607025,-0.85,0.072873439,-1.667832448,0.249069736,0.304548611,83.95,90.78,21,0.2,0.71,1,0.11,0.85
cseq,0.451388889,25.744,12.37899189,399.2019043,1110.252319,-0.85,0.037268552,-1.814753597,0.461347099,0.478202,83.95,90.78,21,0.2,0.71,1,0.11,0.85
cseq,0.572916667,28.735,18.61506424,399.548645,1450,-0.85,0.044255978,-1.870605195,0.823827877,0.807195458,83.95,90.78,21,0.2,0.71,1,0.11,0.85
cseq,0.673611111,28.956,17.93974131,399.1630554,1369.939697,-0.85,0.046490518,-1.782222481,0.834027861,0.89466611,83.95,90.78,21,0.2,0.71,1,0.11,0.85
cseq,0.78125,29.052,18.19944057,399.8876648,124.7579117,-0.85,0.043666869,-1.588532568,0.794712587,1.076069792,83.95,90.78,21,0.2,0.71,1,0.11,0.85
cseq,0.840277778,27.174,13.40668838,400.2503357,8.685324669,-0.85,0.020549,,0.275494042,,83.95,90.78,21,0.2,0.71,1,0.11,0.85
dseq,0.375,19.493,3.417839729,400.3173218,209.3607025,-0.85,0.041593918,-1.667832448,0.142161345,0.17382698,83.95,90.78,21,0.2,0.71,1,0.11,0.85
dseq,0.451388889,25.744,12.37899189,399.2019043,1110.252319,-0.85,0.020247385,-1.814753597,0.25064222,0.259799207,83.95,90.78,21,0.2,0.71,1,0.11,0.85
dseq,0.572916667,28.735,18.61506424,399.548645,1450,-0.85,0.025700161,-1.870605195,0.478410149,0.468751434,83.95,90.78,21,0.2,0.71,1,0.11,0.85
dseq,0.673611111,28.956,17.93974131,399.1630554,1369.939697,-0.85,0.025601255,-1.782222481,0.459279901,0.492671985,83.95,90.78,21,0.2,0.71,1,0.11,0.85
dseq,0.78125,29.052,18.19944057,399.8876648,124.7579117,-0.85,0.020416885,-1.588532568,0.371575887,0.503127287,83.95,90.78,21,0.2,0.71,1,0.11,0.85
dseq,0.840277778,27.174,13.40668838,400.2503357,8.685324669,-0.85,0.020709091,,0.277640336,,83.95,90.78,21,0.2,0.71,1,0.11,0.85
eseq,0.375,19.493,3.417839729,400.3173218,209.3607025,-0.85,0.075688239,-1.667832448,0.258690269,0.316312064,83.95,90.78,21,0.2,0.71,1,0.11,0.85
eseq,0.451388889,25.744,12.37899189,399.2019043,1110.252319,-0.85,0.080530096,-1.814753597,0.996881408,1.033301571,83.95,90.78,21,0.2,0.71,1,0.11,0.85
eseq,0.572916667,28.735,18.61506424,399.548645,1450,-0.85,0.046955636,-1.870605195,0.874082175,0.856435162,83.95,90.78,21,0.2,0.71,1,0.11,0.85
eseq,0.673611111,28.956,17.93974131,399.1630554,1369.939697,-0.85,0.057310825,-1.782222481,1.028141366,1.102892696,83.95,90.78,21,0.2,0.71,1,0.11,0.85
eseq,0.78125,29.052,18.19944057,399.8876648,124.7579117,-0.85,0.056138462,-1.588532568,1.021688603,1.383403585,83.95,90.78,21,0.2,0.71,1,0.11,0.85
eseq,0.840277778,27.174,13.40668838,400.2503357,8.685324669,-0.85,0.018627484,,0.249732873,,83.95,90.78,21,0.2,0.71,1,0.11,0.85
