tree,time,tl,vpd,ca,ppfd,psis,gsw,psil,e,k,vm,jm,oxy,phi,thetaj,thetaa,gm,absorptance
aseq,0.3125,22.19,14.44,396.05,96,-1.9,0.0546,-2.01,0.788424,7.167490909,194,116,21,0.33,0.44,0.9,0.06,0.85
aseq,0.354166667,25.39,20.23,394.97,1209,-1.9,0.0308,-2.27,0.623084,1.684010811,194,116,21,0.33,0.44,0.9,0.06,0.85
aseq,0.4375,31.76,38.29,395.61,1504,-1.9,0.009,-2.76,0.34461,0.400709302,194,116,21,0.33,0.44,0.9,0.06,0.85
aseq,0.5,33.52,43.22,396.11,1372,-1.9,0.011,-3.02,0.47542,0.424482143,194,116,21,0.33,0.44,0.9,0.06,0.85
aseq,0.541666667,34.87,48.97,395.43,1240,-1.9,0.00438,-4.41,0.2144886,0.085453625,194,116,21,0.33,0.44,0.9,0.06,0.85
aseq,0.604166667,36.25,53.87,396.16,75,-1.9,0.0177,-3.606666667,0.953499,0.55869082,194,116,21,0.33,0.44,0.9,0.06,0.85
aseq,0.666666667,35.12,46.36,395.44,52,-1.9,0.0178,-4.57,0.825208,0.309066667,194,116,21,0.33,0.44,0.9,0.06,0.85
aseq,0.75,30.88,27.62,394.84,17,-1.9,0.0128,-3.11,0.353536,0.292178512,194,116,21,0.33,0.44,0.9,0.06,0.85
bseq,0.3125,22.19,14.44,395.9,823,-1.18,0.094,-1.72,1.35736,2.51362963,194,116,21,0.33,0.44,0.9,0.06,0.85
bseq,0.354166667,25.39,20.23,394.78,1418,-1.18,0.0398,-2.26,0.805154,0.745512963,194,116,21,0.33,0.44,0.9,0.06,0.85
bseq,0.4375,31.76,38.29,395.47,1554,-1.18,0.011,-3.11,0.42119,0.218233161,194,116,21,0.33,0.44,0.9,0.06,0.85
bseq,0.5,33.52,43.22,395.81,961,-1.18,0.0228,-3.58,0.985416,0.41059,194,116,21,0.33,0.44,0.9,0.06,0.85
bseq,0.541666667,34.87,48.97,395.63,367,-1.18,0.0126,-4.33,0.617022,0.19588,194,116,21,0.33,0.44,0.9,0.06,0.85
bseq,0.604166667,36.25,53.87,394.73,115,-1.18,0.0226,-3.7,1.217462,0.483119841,194,116,21,0.33,0.44,0.9,0.06,0.85
bseq,0.666666667,35.12,46.36,395.13,95,-1.18,0.0228,-4.38,1.057008,0.330315,194,116,21,0.33,0.44,0.9,0.06,0.85
bseq,0.75,30.88,27.62,394.84,30,-1.18,0.0141,-3.92,0.389442,0.142132117,194,116,21,0.33,0.44,0.9,0.06,0.85
cseq,0.3125,22.19,14.44,396,113,-1.64,0.0702,-1.93,1.013688,3.495475862,194,116,21,0.33,0.44,0.9,0.06,0.85
cseq,0.354166667,25.39,20.23,394.45,1344,-1.64,0.034,-2.75,0.68782,0.619657658,194,116,21,0.33,0.44,0.9,0.06,0.85
cseq,0.4375,31.76,38.29,395.31,1564,-1.64,0.0156,-3.17,0.597324,0.390407843,194,116,21,0.33,0.44,0.9,0.06,0.85
cseq,0.5,33.52,43.22,395.71,1254,-1.64,0.0221,-2.47,0.955162,1.15079759,194,116,21,0.33,0.44,0.9,0.06,0.85
