SampleID,Tair,Tleaf,RHs,VPDleaf,Qin,Patm,Vcmax,Jmax,TPU,Rday
BNL17167,28.4,28,61.59,1.4,1000,99.59,42.57611362,71.45517714,4.54309893,0.356806235
BNL17168,28.2,28.8,76.65,1.04,1499,99.55,33.86992401,66.3744463,-9999,0.56832546
BNL17170,28.23,28.93,76.01,1.09,1500,99.44,61.25557184,92.80874603,6.620096869,0.426798337
BNL17171,27.28,29.05,82.04,1.05,1500,99.53,42.23208742,57.43542839,4.10100714,-0.427261568
BNL17182,28.64,29.44,72.86,1.26,1500,99.39,39.61717857,55.99788977,-9999,0.142813146
BNL17184,28.41,29.11,71.93,1.25,1499,99.18,57.2087953,86.16987769,-9999,0.898794811
BNL17185,28.91,29.46,71.53,1.27,1500,99.16,56.41696843,88.86456077,-9999,0.461446583
BNL17186,28.58,29.09,63.4,1.56,1000,99.18,49.20423226,78.89389805,4.76318192,0.920565809
BNL17187,30.51,30.01,65.08,1.41,1800,99.73,100.7376858,150.5875067,8.781678408,0.869467567
BNL17188,27.62,28.93,79.12,1.07,1799,99.49,90.53320517,113.6529759,5.894606801,0.240758036
BNL17189,27.88,28.98,79.4,1.03,1800,99.49,116.8120792,176.0532299,9.576087106,0.98537776
BNL17190,27.67,28.96,80.4,1.02,1800,99.52,102.3221119,140.2064877,8.041465908,-0.733424129
BNL17191,27.63,29.01,81.49,1,1799,99.48,101.1044814,149.44722,9.093071657,0.416160756
BNL17192,28.38,29.03,79.21,0.96,1800,99.48,128.3147585,197.0354575,11.91260861,0.722932884
BNL17193,27.84,29.08,80.03,1.04,1799,99.46,78.17058272,114.0434524,7.876656971,-0.273955159
BNL17194,27.43,28.95,78.29,1.14,1800,99.43,86.69199759,130.4162355,7.824547865,0.853757569
BNL17195,30.23,29.99,63.98,1.5,1800,99.68,148.1696625,174.4975656,9.712039528,0.286148137
BNL17196,28.91,30.09,72.98,1.37,1800,99.38,62.75887259,76.30092836,-9999,0.198115927
BNL17197,30.31,30.02,65.82,1.41,1800,99.44,82.57091305,99.97620002,-9999,0.660360931
BNL17198,26.98,29.04,83.6,1.04,1799,99.27,90.47896653,133.7913485,9.063802095,0.668223333
BNL17199,28.24,28.99,83.75,0.8,1800,99.18,76.39538622,119.9814397,7.943675648,0.350388345
BNL17200,28.22,28.99,82.99,0.83,1800,99.22,120.1091017,192.0131349,12.47157077,-0.33943871
BNL17238,30.48,30.92,72.38,1.32,1800,99.15,116.5870944,166.8000763,10.3792843,-0.307359327
BNL17239,31.36,31.06,64.97,1.54,1800,99.12,101.4278173,131.6040767,-9999,1.721637097
BNL17240,31.7,32.91,70.54,1.72,2000,99.37,147.7849048,167.5404393,8.72117815,0.244809665
BNL17241,31.47,31.97,75.66,1.26,1000,99.5,41.92934487,45.65196139,2.688671771,0.629153629
BNL17242,29.67,32.03,75.45,1.63,1800,99.45,42.54743386,59.35465576,3.806266672,0.357618702
BNL17243,30.37,31.94,74.25,1.53,1800,99.49,62.07989306,70.67965246,4.351272259,0.531778513
BNL17244,29.52,31.99,78.16,1.54,1800,99.26,48.4505071,73.84365248,-9999,0.412071945
BNL17245,32.69,33.5,74.29,1.51,1500,99.21,114.6190623,134.6256105,8.24283138,0.083802926
BNL17246,29.77,31.95,62.93,2.12,2000,99.18,27.33092325,44.6422883,-9999,0.434036666
BNL17510,27.58,30.94,86.3,1.3,2000,99.3,45.20053793,69.70833855,-9999,0.867074026
BNL17511,29.84,30.96,76.55,1.27,1800,99.3,53.3139865,77.27714355,5.137945452,0.614548747
BNL17512,28.64,30.95,81.35,1.3,1800,99.24,48.07079887,66.55096229,4.686560398,0.724340586
BNL17513,27.58,31.02,82.51,1.46,1800,99.25,32.45783685,42.76745659,-9999,0.954324894
BNL17517,30.28,30.97,74.79,1.27,1200,99.06,41.4633529,54.23065389,-9999,0.921757431
BNL17518,30.5,30.9,67.87,1.51,1600,99.06,32.32757187,61.98199766,-9999,1.493086807
BNL17520,28.59,30.95,76.37,1.5,1800,99.03,18.94479205,26.05227987,-9999,0.746290301
BNL17521,31.22,30.98,70.31,1.3,600,99.25,20.25871729,33.21405329,-9999,1.722684281
BNL17533,31.61,30.94,69.82,1.24,801,99.35,31.42648575,48.59230899,-9999,0.625610373
BNL17534,31.33,30.99,72.08,1.2,750,99.51,50.50861422,81.14326722,4.258670593,0.669274343
BNL17535,32.04,31.08,66.86,1.34,400,99.33,22.14624111,30.6485078,-9999,0.690737024
BNL17537,29.35,30.95,74.74,1.43,1200,99.32,43.22505614,43.0636343,-9999,1.273083455
BNL17539,30.48,31.03,75.43,1.22,1000,99.19,41.21601816,67.27049523,-9999,1.041999254
BNL17540,31.25,30.99,74.55,1.1,1500,99.36,127.5097447,219.0868215,11.24844515,0.351094737
BNL17541,31.1,32.06,76.83,1.31,1400,99.03,107.071844,154.1530209,-9999,0.584902665
BNL17542,30.92,31.05,19.52,3.65,1400,99.07,96.79805737,126.2994865,-9999,0.460601739
BNL17543,28.75,30.98,80.24,1.33,1200,99.11,36.15877994,57.93124191,-9999,1.239893782
BNL17544,30.77,30.92,74.17,1.19,1000,99.03,29.77787916,46.47414243,-9999,0.889146623
BNL17558,29.76,31.09,76.76,1.31,1200,99.27,41.88432708,54.116151,3.634101427,0.734533381
BNL17559,30.76,31.04,71.45,1.34,1000,99.31,32.13491614,40.98738594,-9999,0.822567401
BNL17560,31.48,30.99,67.11,1.4,800,99.49,35.00520403,52.90202043,3.263437792,0.811906579
BNL17561,28.47,31.02,83.92,1.25,1800,99.15,78.15692245,107.538076,7.267786999,0.460708569
BNL17564,28.69,30.95,81.54,1.28,1800,98.99,61.51257989,81.32593305,-9999,-0.087798859
BNL17566,27.32,30.94,84.26,1.43,1800,99.05,83.3658724,106.3645786,6.306494146,1.108537678
BNL17570,29.8,30.95,72.32,1.46,1200,98.93,81.37239251,99.03681981,5.161002314,0.943837734
