SampleID,date,Tair,Tleaf,RHs,VPDleaf,CO2s,Ci,PhiCO2i,AsatG,Theta,Rdark,LCP,LUEmax,QLUEmax,Patm
BNL17167,20200122,28.66,28,60.8,1.4,390.01,292.66,0.04,7.28,0.93,0.3,8.2,0.03,96,99.66
BNL17168,20200122,29.36,28.9,71.08,1.08,395.13,327.07,0.03,7.67,0.74,0.53,15.7,0.02,101,99.48
BNL17170,20200122,30.18,28.87,64.38,1.22,395.54,315.46,0.03,9.11,0.7,1.36,40.1,0.02,169,99.38
BNL17171,20200122,29.07,28.95,61.62,1.53,394.16,332.18,0.04,8.73,0.51,1.26,31.2,0.02,131,99.47
BNL17182,20200122,30.47,29.43,62.29,1.4,387.19,297.5,0.02,4.57,0.73,0.41,18.7,0.01,104,99.3
BNL17184,20200122,30.18,28.83,66.1,1.14,390.16,310.6,0.03,6.32,0.71,1.08,32.4,0.02,130,99.16
BNL17185,20200122,30.48,29.42,62.74,1.38,382.98,296.43,0.04,11.31,0.71,0.58,13.1,0.03,96,99.19
BNL17186,20200122,28.89,28.96,60.41,1.6,389.99,262.06,0.03,8.11,0.34,0.38,11.4,0.02,73,99.19
BNL17187,20200123,30.96,30.01,63.39,1.41,400.01,322.33,0.05,18.44,0.57,2.17,40.4,0.03,185,99.73
BNL17188,20200123,29.91,28.89,66.31,1.2,399.97,313.53,0.03,11,0.73,0.82,24.6,0.02,150,99.49
BNL17189,20200123,30.19,28.91,67.47,1.11,400.07,317.17,0.04,20.95,0.51,1.73,43.9,0.02,232,99.51
BNL17190,20200123,29.35,28.93,70.8,1.11,400.01,311.53,0.04,16.73,0.63,1.23,32.2,0.03,188,99.53
BNL17191,20200123,30.52,28.89,66.44,1.1,400.01,348.76,0.04,20.76,0.34,2.64,67.2,0.02,293,99.49
BNL17192,20200123,30.57,28.9,66.81,1.07,400.02,330.41,0.05,24.77,0.43,1.95,39.3,0.03,207,99.39
BNL17193,20200123,29.45,28.89,71.74,1.04,400.08,343.29,0.03,16.13,0.63,1.25,48.3,0.02,275,99.38
BNL17194,20200123,30.44,28.9,65.03,1.17,400.01,337.12,0.04,15.34,0.43,2.13,60.8,0.02,258,99.34
BNL17195,20200123,30.64,30,64.8,1.4,400.11,301.58,0.05,23.19,0.67,1.25,26.9,0.03,187,99.59
BNL17196,20200123,31.51,29.91,61.01,1.42,400,330.47,0.02,8.93,0.67,0.99,40.9,0.01,199,99.27
BNL17197,20200123,30.77,30,64.04,1.41,400,319.14,0.04,11.43,0.78,1.21,31.3,0.03,163,99.38
BNL17198,20200123,33.66,30.92,47.97,2,399.97,322.76,0.04,15.85,0.41,1.97,47.2,0.02,208,99.16
BNL17199,20200123,33.18,30.84,61.93,1.32,400,354.88,0.03,17.98,0.62,1.82,54.7,0.02,272,99.14
BNL17203,20200115,30.51,29.51,54.49,1.76,390.02,325.79,0.04,17.58,0.64,0.96,24.3,0.03,164,99.23
BNL17218,20200114,29.36,29.51,62.19,1.6,390.02,341.55,0.03,11.28,0.63,0.55,18.9,0.02,135,99.15
BNL17238,20200123,33.51,30.92,56.34,1.57,400.04,323.12,0.04,19.16,0.5,1.03,25,0.03,160,99.13
BNL17239,20200123,34.59,30.92,46.03,1.97,400.04,333.29,0.05,17.6,0.43,1.13,23.3,0.03,134,99.14
BNL17240,20200128,32.1,30.93,73.14,0.99,399.96,354.38,0.05,22.53,0.55,2.29,50.5,0.03,246,99.55
BNL17241,20200128,31.57,30.96,69.69,1.26,399.94,323.25,0.03,5.33,0.8,0.09,3.3,0.02,52,99.6
BNL17242,20200128,31.89,31,68.4,1.27,399.98,351.75,0.03,8.74,0.62,1.4,40.2,0.02,164,99.56
BNL17243,20200128,33.98,31.98,65.44,1.29,400.01,364.06,0.03,12.68,0.61,1.46,45.8,0.02,214,99.57
BNL17244,20200128,33.41,31.95,59,1.72,400,347.38,0.04,12.59,0.48,1.45,33.6,0.02,154,99.37
BNL17245,20200128,34.61,33.46,64.09,1.66,400.05,305.18,0.03,11.9,0.79,0.97,30.8,0.02,188,99.3
BNL17246,20200128,34.07,32.93,55.74,2.05,400.01,348.31,0.03,5.42,0.58,1.2,36.7,0.01,133,99.25
BNL17510,20200211,31.44,30.91,68.36,1.34,400,353.24,0.03,11.83,0.54,2.64,92.5,0.01,334,99.39
BNL17511,20200211,31.44,30.9,68.35,1.33,400,313.13,0.03,9.47,0.5,0.84,25.4,0.02,130,99.37
BNL17512,20200211,31.65,30.93,64.34,1.49,400.09,363.47,0.02,4.41,0.63,1.35,62.5,0.01,203,99.36
BNL17513,20200211,32.08,30.91,67.1,1.28,400.02,382.64,0.02,6.49,0.49,2.11,85.9,0.01,290,99.36
BNL17514,20200211,31.28,30.99,76.34,1.01,400,309.88,0.02,3.27,0.84,0.23,9,0.02,64,99.55
BNL17517,20200211,31.83,30.99,67.84,1.3,400,358.13,0.02,7.41,0.89,0.54,23.7,0.02,173,99.14
BNL17518,20200211,31.13,30.93,70.23,1.3,395.36,349.53,0.04,9.14,0.72,2.01,48.1,0.02,171,99.07
BNL17521,20200211,31.29,30.98,69.72,1.31,400.01,342.1,0.02,2,0.96,0.02,0.8,0.02,33,99.3
BNL17533,20200212,32.48,30.96,61.64,1.49,400.02,341.75,0.04,5.04,0.93,0.38,10.6,0.03,83,99.35
BNL17534,20200212,31.64,30.98,70.58,1.2,400.04,338.96,0.05,8.69,0.89,0.23,4.9,0.04,68,99.49
BNL17535,20200212,32.46,30.92,63.72,1.37,400.03,367.79,0.02,2.94,0.93,0.75,34.1,0.01,114,99.33
BNL17536,20200212,31.62,31.01,64.68,1.5,400.02,283.73,0.04,12.36,0.01,0.98,24.1,0.02,119,99.33
BNL17539,20200212,31.61,30.93,72.3,1.13,399.97,337.44,0.04,6.62,0.79,1.13,30.6,0.02,124,99.24
BNL17540,20200212,31.62,30.99,72.94,1.1,400.08,329.85,0.05,22.57,0.8,1.25,23.4,0.04,178,99.41
BNL17541,20200212,33.49,31.97,67.18,1.28,400.04,354.13,0.06,20.37,0.57,2.19,37.6,0.03,180,99.18
BNL17542,20200212,31.86,31.02,10.3,4.03,400.01,329.14,0.04,15.16,0.77,1.35,33.4,0.03,189,99.19
BNL17543,20200212,31.01,30.97,70.82,1.31,400.06,329.07,0.03,4.35,0.84,1.02,36.8,0.01,127,99.18
BNL17556,20200213,30.29,29.95,73.45,1.08,400.02,346.53,0.04,13.81,0.53,1.89,46,0.02,197,99.29
BNL17557,20200213,30,29.92,71.12,1.21,400.03,300.27,0.03,13.94,0.32,0.51,17.3,0.02,123,99.29
BNL17558,20200213,32.1,30.9,65.72,1.33,399.97,379.36,0.03,6.4,0.35,2.08,82,0.01,294,99.29
BNL17559,20200213,30.99,29.93,67.8,1.19,400.01,356.36,0.03,5.31,0.78,0.88,27,0.02,111,99.31
BNL17560,20200213,31.58,31.01,66.54,1.41,400.09,336.4,0.06,6.03,0.89,0.67,11.1,0.04,62,99.48
BNL17563,20200213,31.69,30.94,48.03,2.26,400.05,344.59,0.05,13.4,0.36,1.92,41.6,0.02,175,99.13
BNL17564,20200214,31.02,30.94,71.83,1.26,400.05,330.13,0.04,10.77,0.71,1.22,34,0.02,165,99.11
BNL17565,20200213,31.27,30.99,67.65,1.41,400.06,287.13,0.04,10.73,0.91,1.15,31.6,0.03,185,99.21
BNL17567,20200213,31.41,30.96,65.67,1.47,399.98,357.47,0.01,2.03,0.46,0.28,29.6,0,128,98.98
BNL17568,20200213,31.37,31.02,67.21,1.42,400.02,395.27,0.03,6.85,0.76,1.72,56.4,0.01,189,98.94
BNL17583,20200214,30.02,29.93,71.9,1.18,400.02,345.13,0.02,5.01,0.67,0.07,3.2,0.02,45,99.39
BNL17584,20200214,29.99,29.96,70.3,1.27,400,320,0.03,6.16,0.77,0.39,12.2,0.02,85,99.41
BNL17585,20200214,30.51,29.93,70.47,1.16,399.99,357.06,0.04,7.89,0.54,0.93,22.2,0.02,102,99.42
BNL17586,20200214,30.55,29.95,69.09,1.22,400.03,336.82,0.04,12.67,0.47,0.75,17.8,0.03,107,99.4
BNL17587,20200214,31.36,30.98,76.17,1,400.02,328.01,0.04,6.88,0.96,0.3,7.1,0.04,90,99.59
BNL17588,20200214,31.09,30.97,70.51,1.32,400.04,332.41,0.03,9.55,0.55,1.13,35.5,0.02,162,99.26
BNL17589,20200214,31.75,30.93,56.15,1.85,399.99,364.79,0.04,7.71,0.45,1.8,51.1,0.01,186,99.19
BNL17590,20200214,31.3,30.98,71.86,1.21,400.05,340.81,0.02,3.27,0.88,0.51,23.8,0.01,106,99.45
BNL17591,20200214,31.63,30.99,70.39,1.22,399.92,371.31,0.04,9.46,0.81,1.8,49.1,0.02,188,99.21
BNL17592,20200214,31.4,30.97,70.01,1.28,400,356.47,0.03,4.65,0.82,0.64,22.5,0.02,104,99.25
BNL17593,20200214,31.47,30.93,65.16,1.48,400.01,327.6,0.02,3.13,0.84,0.34,15.2,0.02,82,99.06
BNL17595,20200217,29.61,29.93,69.9,1.34,399.98,227.75,-9999,-9999,-9999,-9999,-9999,-9999,-9999,99.15
BNL17596,20200217,31.1,29.91,62.77,1.4,400.11,316.81,0.04,11.15,0.21,1.27,33,0.02,148,99.19
BNL17597,20200217,31.69,29.95,63.6,1.27,399.99,349.8,0.03,8.07,0.69,1.64,47.5,0.02,175,99.16
BNL17598,20200217,30.7,29.93,64.61,1.38,400.02,342.07,0.03,4.34,0.88,0.91,36.2,0.01,135,99.16
BNL17599,20200217,30.48,29.99,69.7,1.2,400.03,313.58,0.03,4.73,0.95,0.04,1,0.03,40,99.34
BNL17611,20200217,31.31,30.95,66.99,1.43,400,317.94,0.04,10.77,0.57,1.13,30.4,0.02,147,99.02
BNL17612,20200217,32.38,30.91,64.66,1.34,396.86,357.67,0.04,7.88,0.73,2.19,58.6,0.01,189,98.99
BNL17613,20200217,31.46,30.98,68.99,1.32,399.99,343.88,0.05,11.05,0.75,2.06,40.1,0.03,154,98.92
BNL17616,20200217,30.42,29.98,69.95,1.2,400.09,335.64,0.03,7,0.66,1.67,51.2,0.01,178,99.04
BNL17620,20200218,30.73,30.91,70.56,1.36,400.08,335.8,0.01,1.63,0.91,0.04,3.6,0.01,58,99.17
BNL17621,20200218,32.1,30.91,65.11,1.38,399.97,340.53,0.03,5.74,0.75,0.86,31.7,0.02,136,99.23
BNL17622,20200218,31.6,30.97,65.96,1.43,400.04,310.24,0.03,6.93,0.51,0.97,32.3,0.01,138,99.21
BNL17623,20200218,30.06,29.64,78.76,0.81,396.57,299.6,0.04,6.12,0.75,0.34,9.2,0.03,66,99.4
BNL17634,20200218,31.83,31.37,72.3,1.19,400.02,344.65,0.05,8.66,0.84,1.63,35,0.03,136,99.25
BNL17635,20200218,31.86,30.88,68.05,1.28,400.07,336.94,0.03,13.63,0.52,1.66,51.9,0.02,233,98.98
BNL17636,20200218,31.46,30.91,67.16,1.4,400,322.71,0.03,6.87,0.57,1.35,52.1,0.01,196,98.96
