date,Machine,SampleID,A,gsw,Ci,VPDleaf,VPDair,Tair,Tleaf,Qin,CO2s,RHs,Patm,E,flow
20200121,Andy,BNL17128,-1.555,15.17,555.3333333,1.18,1.314072441,30.61166667,30.07666667,0,399.99,70.22333333,99.41,0.186166667,500.25
20200121,Andy,BNL17128,0.774833333,19.92,330.1666667,1.13,1.383268426,30.91,29.90666667,40,399.9883333,69.185,99.45,0.233666667,500.2
20200121,Andy,BNL17128,2.25,25.75,252.6666667,1.215,1.496071918,31.15,30.03666667,100,399.9866667,67.125,99.5,0.323666667,500.1666667
20200121,Andy,BNL17128,2.923333333,26.68,216.6666667,1.22,1.461379532,31,30.04333333,150,399.9733333,67.61166667,99.50166667,0.336833333,500.2
20200121,Andy,BNL17128,3.395,27.53,193.6666667,1.25,1.480839753,30.95,30.02333333,250,400.0233333,67.08666667,99.51,0.354833333,500.1833333
20200121,Andy,BNL17128,4.076666667,33.00,194,1.29,1.453964928,30.80833333,30.14666667,350,400.005,67.42166667,99.51,0.4385,500.1666667
20200121,Andy,BNL17128,4.538333333,37.38,197,1.316666667,1.433184953,30.57166667,30.10333333,500,399.9433333,67.45,99.51,0.506333333,500.1833333
20200121,Andy,BNL17128,6.548333333,59.58,214.6666667,1.29,1.223549356,29.77,30.03833333,900,400.0266667,70.90333333,99.5,0.785,500.1
20200121,Andy,BNL17128,8.136666667,80.87,228.8333333,1.198333333,0.810531969,28.185,29.85833333,1500,400.0433333,78.87333333,99.5,0.983666667,500.0166667
20200121,Bernie,BNL17129,-1.353333333,26.82,473.3333333,1.13,1.28451566,30.67,30.04,0,399.9583333,70.99,99.42,0.313,499.8
20200121,Bernie,BNL17129,0.201,33.18,383,1.1,1.35872988,30.95833333,29.93333333,20,400.07,69.815,99.465,0.377666667,499.8
20200121,Bernie,BNL17129,1.506666667,42.23,334.8333333,1.17,1.460141743,31.16666667,30.01833333,50,399.9783333,67.945,99.52,0.508166667,499.8
20200121,Bernie,BNL17129,2.726666667,44.30,293.3333333,1.19,1.470825317,31.19,30.07833333,80,399.9816667,67.75333333,99.52,0.542166667,499.8
20200121,Bernie,BNL17129,4.111666667,52.00,264.6666667,1.191666667,1.481858684,31.12,29.975,150,400.0116667,67.38166667,99.53,0.636333333,499.8
20200121,Bernie,BNL17129,5.033333333,61.45,259.5,1.238333333,1.499296048,31.18333333,30.13833333,200,399.8816667,67.11666667,99.53,0.775333333,499.7833333
20200121,Bernie,BNL17129,6.435,75.92,254.6666667,1.25,1.494555416,31.07,30.08166667,375,399.9083333,67.00833333,99.53,0.961333333,499.8166667
20200121,Bernie,BNL17129,7.438333333,93.38,262.1666667,1.243333333,1.442349625,30.88333333,30.09333333,600,400.0883333,67.82,99.52,1.173333333,499.8333333
20200121,Bernie,BNL17129,7.983333333,109.83,273.3333333,1.156666667,1.190094435,30.00166667,29.86166667,1000,399.96,72.07333333,99.51,1.273333333,499.8333333
20200121,Derek,BNL17130,-1.425,40.87,448.5,1.12,1.299825732,30.85333333,30.14,0,400.0616667,70.95,99.39166667,0.472,499.7
20200121,Derek,BNL17130,0.4225,51.72,379.8333333,1.063333333,1.344643011,31.04,29.92,20,399.9983333,70.26666667,99.41,0.564833333,499.7333333
20200121,Derek,BNL17130,2.378333333,58.38,327.1666667,1.08,1.353353152,31.13166667,30.04333333,50,399.965,70.23,99.44,0.645333333,499.7333333
20200121,Derek,BNL17130,3.931666667,79.42,312.5,1.13,1.441026122,31.34833333,30.12166667,80,400.095,68.69,99.49,0.911166667,499.7166667
20200121,Derek,BNL17130,7.065,123.00,298.3333333,1.1,1.428749612,31.29833333,30.00333333,150,400.0533333,68.86833333,99.5,1.36,499.7333333
20200121,Derek,BNL17130,8.591666667,140.17,291.3333333,1.12,1.433345347,31.32,30.09666667,200,399.8533333,68.80666667,99.5,1.565,499.7666667
20200121,Derek,BNL17130,11.55,153.00,267,1.14,1.40798791,31.11,30.03666667,375,399.9166667,68.99,99.5,1.72,499.75
20200121,Derek,BNL17130,13.15,161.67,257,1.14,1.336174879,30.8,30.03,600,400.02,70.04666667,99.49166667,1.826666667,499.7666667
20200121,Derek,BNL17130,14.03333333,169.50,254.6666667,1.091666667,1.095944884,29.92,29.91,1000,399.8716667,74.16166667,99.49,1.825,499.7333333
20200121,Mariano,BNL17131,-1.49,15.58,541.3333333,1.598333333,1.916892902,32.335,31.13333333,0,400.05,60.615,99.25,0.259,499.5
