species,response,rnum,sppresp,t,gsw,dw
Hedera helix,aja1,1,Hedera helix1,15.06306306,0.067189189,10
Hedera helix,aja1,1,Hedera helix1,19.94395971,0.068702703,10
Hedera helix,aja1,1,Hedera helix1,24.90451869,0.068810811,10
Hedera helix,aja1,1,Hedera helix1,28.48719586,0.068810811,10
Hedera helix,aja2,2,Hedera helix2,18.8019802,0.105463917,10
Hedera helix,aja2,2,Hedera helix2,22.57425743,0.085184616,10
Hedera helix,aja2,2,Hedera helix2,26.28712871,0.079849877,10
Hedera helix,aja2,2,Hedera helix2,26.25742574,0.078332988,10
Hedera helix,aja2,2,Hedera helix2,29.10891089,0.074279229,10
Glycine max,bwb1,1,Glycine max1,20,0.399117343,10
Glycine max,bwb1,1,Glycine max1,25,0.512335686,10
Glycine max,bwb1,1,Glycine max1,30,0.610429616,10
Glycine max,bwb1,1,Glycine max1,35,0.72724627,10
Picea rubens,day1,1,Picea rubens1,15.99155227,0.107946824,20
Picea rubens,day1,1,Picea rubens1,20.01267159,0.105731167,20
Picea rubens,day1,1,Picea rubens1,24.00422386,0.10014771,20
Picea rubens,day1,1,Picea rubens1,27.96620908,0.097400295,20
Picea rubens,day1,1,Picea rubens1,31.9281943,0.100502216,20
Picea rubens,day1,1,Picea rubens1,36.00844773,0.072141802,20
Eucalyptus haemastoma,eam1,1,Eucalyptus haemastoma1,18.37250996,0.057088435,21
Eucalyptus haemastoma,eam1,1,Eucalyptus haemastoma1,19.18326693,0.064965986,21
Eucalyptus haemastoma,eam1,1,Eucalyptus haemastoma1,21.28685259,0.11814966,21
Eucalyptus haemastoma,eam1,1,Eucalyptus haemastoma1,22.09760956,0.083346939,21
Eucalyptus haemastoma,eam1,1,Eucalyptus haemastoma1,24.17928287,0.101605442,21
Eucalyptus haemastoma,eam1,1,Eucalyptus haemastoma1,23.47808765,0.127605442,21
Eucalyptus haemastoma,eam1,1,Eucalyptus haemastoma1,25.38446215,0.156965986,21
Eucalyptus haemastoma,eam1,1,Eucalyptus haemastoma1,26.50199203,0.125972789,21
Eucalyptus haemastoma,eam1,1,Eucalyptus haemastoma1,29.28486056,0.161469388,21
Eucalyptus haemastoma,eam1,1,Eucalyptus haemastoma1,29.48207171,0.180190476,21
Eucalyptus haemastoma,eam1,1,Eucalyptus haemastoma1,30.88446215,0.18492517,21
Eucalyptus haemastoma,eam1,1,Eucalyptus haemastoma1,32.48406375,0.158571429,21
Eucalyptus haemastoma,eam1,1,Eucalyptus haemastoma1,32.98804781,0.196163265,21
Eucalyptus haemastoma,eam1,1,Eucalyptus haemastoma1,34.80677291,0.173496599,21
Eucalyptus haemastoma,eam1,1,Eucalyptus haemastoma1,35.31075697,0.142027211,21
Eucalyptus haemastoma,eam1,1,Eucalyptus haemastoma1,36.60358566,0.151442177,21
Eucalyptus haemastoma,eam1,1,Eucalyptus haemastoma1,36.77888446,0.088693878,21
Eucalyptus haemastoma,eam1,1,Eucalyptus haemastoma1,37.80876494,0.041972789,21
Picea glauca,fsa1,1,Picea glauca1,9.286733238,0.081394396,10
Picea glauca,fsa1,1,Picea glauca1,14.63623395,0.079741366,10
Picea glauca,fsa1,1,Picea glauca1,19.66476462,0.084216636,10
Picea glauca,fsa1,1,Picea glauca1,25.12125535,0.085169626,10
Picea glauca,fsa2,2,Picea glauca2,19.66476462,0.060155334,20
Picea glauca,fsa2,2,Picea glauca2,24.83594864,0.069995464,20
Picea glauca,fsa2,2,Picea glauca2,29.82881598,0.085964768,20
Picea glauca,fsa2,2,Picea glauca2,35.03566334,0.091667186,20
Picea glauca,fsa3,3,Picea glauca3,24.76462197,0.058807287,30
Picea glauca,fsa3,3,Picea glauca3,29.65049929,0.070944518,30
Picea glauca,fsa3,3,Picea glauca3,34.96433666,0.072509661,30
Citrus sinensis,haa1,1,Citrus sinensis1,20.49125125,0.231949976,5.4
Citrus sinensis,haa1,1,Citrus sinensis1,22.73075309,0.236464147,5.4
Citrus sinensis,haa1,1,Citrus sinensis1,24.61145629,0.265822608,5.4
Citrus sinensis,haa1,1,Citrus sinensis1,25.12275777,0.231528397,5.4
Citrus sinensis,haa1,1,Citrus sinensis1,26.79749544,0.25550138,5.4
Citrus sinensis,haa1,1,Citrus sinensis1,27.5142808,0.249565544,5.4
Citrus sinensis,haa1,1,Citrus sinensis1,29.81544707,0.329193284,5.4
Citrus sinensis,haa2,2,Citrus sinensis2,21.10324423,0.150992713,15.1
Citrus sinensis,haa2,2,Citrus sinensis2,23.55010149,0.130834074,15.1
Citrus sinensis,haa2,2,Citrus sinensis2,25.94037224,0.158302447,15.1
Citrus sinensis,haa2,2,Citrus sinensis2,26.42388963,0.16332649,15.1
Citrus sinensis,haa2,2,Citrus sinensis2,28.13395259,0.188705215,15.1
